[4/23/23 12:03PM] Dead used command ::hideall | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:05PM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:06AM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:07AM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:08AM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:08AM] Dead used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:08AM] Dead used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:10AM] Dead used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:10AM] Dead used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:15AM] Dead used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:20AM] Dead used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:29AM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:30AM] Dead used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:30AM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/26/23 12:45PM] Dead used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:05PM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:07PM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:44PM] Dead used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:06PM] Dead used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 02:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:04PM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:07PM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:08PM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:31PM] Dead used command ::yell buying owner cape  | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:43PM] Dead used command ::Yell buying owner cape  | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:43PM] Dead used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/26/23 03:52PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 04:05PM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 04:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:33PM] Dead used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 09:36PM] Dead used command ::yell buying owner cape  | Player rights = GRACEFUL_DONATOR	
[4/26/23 09:46PM] Dead used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/26/23 09:48PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 10:16PM] Dead used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/26/23 10:21PM] Dead used command ::yell buying owner cape | Player rights = GRACEFUL_DONATOR	
[4/26/23 10:42PM] Dead used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/26/23 10:48PM] Dead used command ::yell buying owner cape | Player rights = GRACEFUL_DONATOR	
[4/26/23 10:52PM] Dead used command ::yell buying owner cape  | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:04PM] Dead used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:20PM] Dead used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:21PM] Dead used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:23PM] Dead used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 11:58PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 12:05AM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 12:05AM] Dead used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/27/23 12:06AM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 12:08AM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:05AM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:07AM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:09AM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:33AM] Dead used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:35AM] Dead used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:37AM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:06AM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:06AM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:07AM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:10AM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 09:16AM] Dead used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:28AM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:36AM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:38AM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:38AM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:46AM] Dead used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/27/23 11:09AM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/27/23 11:10AM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 11:15AM] Dead used command ::bis | Player rights = GRACEFUL_DONATOR	
[4/27/23 11:27AM] Dead used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/27/23 12:05PM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 12:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 12:07PM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/27/23 12:27PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:05PM] Dead used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:07PM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:59PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:05PM] Dead used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:07PM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:08PM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:38PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:49PM] Dead used command ::Yell buying 100% dr scroll | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:12PM] Dead used command ::yell buying 100% dr ticket | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:27PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:29PM] Dead used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:36PM] Dead used command ::Yell selling 3x3 aoe | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:38PM] Dead used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:39PM] Dead used command ::yell selling 3x3 aoe  | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:01PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:03PM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:03PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:04PM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:05PM] Dead used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/27/23 05:48PM] Dead used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:01PM] Dead used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:03PM] Dead used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:05PM] Dead used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:07PM] Dead used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:34PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:41PM] Dead used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 07:05PM] Dead used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 07:06PM] Dead used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 07:07PM] Dead used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/27/23 07:21PM] Dead used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:09PM] Dead used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 08:47PM] Dead used command ::dropoff | Player rights = CLERIC_DONATOR	
