[4/19/23 12:59PM] Markwhite93 used command ::train | Player rights = PLAYER	
[4/19/23 01:06PM] Markwhite93 used command ::refer | Player rights = PLAYER	
[4/19/23 01:06PM] Markwhite93 used command ::refer | Player rights = PLAYER	
[4/19/23 01:06PM] Markwhite93 used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/19/23 01:08PM] Markwhite93 used command ::home | Player rights = PLAYER	
[4/19/23 01:11PM] Markwhite93 used command ::train | Player rights = PLAYER	
[4/27/23 11:09AM] Markwhite93 used command ::train | Player rights = PLAYER	
[4/27/23 11:11AM] Markwhite93 used command ::vboss | Player rights = PLAYER	
[4/27/23 11:12AM] Markwhite93 used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/27/23 11:13AM] Markwhite93 used command ::train | Player rights = PLAYER	
