[4/18/23 04:04PM] Gave item to Krafty. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/18/23 04:04PM] Gave item to Krafty. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/18/23 04:04PM] Gave item to Krafty. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/18/23 04:04PM] Gave item to Krafty. Name: Progressive Box [T1]. Id: 10025, amount: 1	
[4/18/23 04:04PM] Gave item to Krafty. Name: PvM Casket. Id: 2736, amount: 5	
[4/18/23 04:04PM] Gave item to Krafty. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/18/23 04:04PM] Gave item to Krafty. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/18/23 04:04PM] Gave item to Krafty. Name: Vote scroll. Id: 23020, amount: 2	
[4/18/23 04:04PM] Gave item to Krafty. Name: Coin. Id: 995, amount: 2000000	
