[4/19/23 11:54AM] Received item from Suh. Name: Tarn token. Id: 10835, amount: 100000	
[4/19/23 12:24PM] Gave item to Dwightshrute. Name: Malvek Legs. Id: 19158, amount: 1	
[4/19/23 12:24PM] Gave item to Dwightshrute. Name: Blood Vitur. Id: 8136, amount: 1	
[4/19/23 12:24PM] Received item from Dwightshrute. Name: Coin. Id: 995, amount: 693	
[4/19/23 12:24PM] Received item from Dwightshrute. Name: Tarn token. Id: 10835, amount: 56587	
[4/19/23 12:24PM] Received item from Dwightshrute. Name: $10 Bond. Id: 23057, amount: 1	
[4/19/23 12:24PM] Received item from Dwightshrute. Name: $1 Scroll. Id: 10946, amount: 10	
[4/19/23 12:33PM] Gave item to Dajjal. Name: Unknown Gloves. Id: 21046, amount: 1	
[4/19/23 12:33PM] Gave item to Dajjal. Name: Unknown Body. Id: 21043, amount: 1	
[4/19/23 01:38PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 3948671	
[4/19/23 01:38PM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 17	
[4/19/23 01:38PM] Received item from Onlyfans. Name: Super Buu Helm. Id: 9478, amount: 1	
[4/19/23 01:38PM] Received item from Onlyfans. Name: Warrior chestplate (mithril). Id: 20604, amount: 1	
[4/19/23 01:46PM] Gave item to Juust. Name: Warrior chestplate (iron). Id: 20602, amount: 1	
[4/19/23 01:46PM] Received item from Juust. Name: $1 Scroll. Id: 10946, amount: 19	
[4/19/23 01:46PM] Received item from Juust. Name: Tarn token. Id: 10835, amount: 591289	
[4/19/23 01:50PM] Gave item to Greensleeve. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 01:50PM] Received item from Greensleeve. Name: Tarn token. Id: 10835, amount: 30073	
[4/19/23 01:54PM] Gave item to Dwightshrute. Name: Sinful Staff. Id: 14377, amount: 1	
[4/20/23 12:06PM] Gave item to Monsterbait. Name: Doom Legs. Id: 15933, amount: 1	
[4/20/23 12:06PM] Gave item to Monsterbait. Name: Doom Helm. Id: 15922, amount: 1	
[4/20/23 12:06PM] Gave item to Monsterbait. Name: Unknown Body. Id: 21043, amount: 1	
[4/20/23 12:06PM] Gave item to Monsterbait. Name: Unknown Mace. Id: 9940, amount: 1	
[4/20/23 12:06PM] Gave item to Monsterbait. Name: Mystic gloves. Id: 23024, amount: 1	
[4/20/23 12:06PM] Received item from Monsterbait. Name: Tarn token. Id: 10835, amount: 7792	
[4/20/23 02:35PM] Received item from Zshana. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/21/23 10:40AM] Gave item to Onlyfans. Name: Aura (T6). Id: 23049, amount: 1	
