[4/15/23 11:23AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ratskii	
[4/15/23 11:23AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Ratskii	
[4/15/23 11:23AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:24AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:24AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:25AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:25AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:26AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:26AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:26AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:29AM] Player picked up item: Coin, id: 995, amount: 2000478, owner: Ratskii	
[4/15/23 11:29AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ratskii	
[4/15/23 11:34AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:34AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:35AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:35AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:35AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:36AM] Player picked up item: Coin, id: 995, amount: 600, owner: Ratskii	
[4/15/23 11:36AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ratskii	
[4/15/23 11:36AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Ratskii	
[4/15/23 11:36AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:36AM] Player picked up item: Coin, id: 995, amount: 900, owner: Ratskii	
[4/15/23 11:36AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ratskii	
[4/15/23 11:36AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:36AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Ratskii	
[4/15/23 11:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:37AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:37AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:37AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:37AM] Player picked up item: Coin, id: 995, amount: 300, owner: Ratskii	
[4/15/23 11:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:38AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ratskii	
[4/15/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:38AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ratskii	
[4/15/23 11:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:39AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ratskii	
[4/15/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:39AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Ratskii	
[4/15/23 11:39AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ratskii	
[4/15/23 11:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:45AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Ratskii	
[4/15/23 11:46AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Ratskii	
[4/15/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ratskii	
[4/15/23 11:47AM] Player picked up item: Coin, id: 995, amount: 400, owner: Ratskii	
[4/15/23 11:51AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Ratskii	
[4/15/23 11:52AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Ratskii	
[4/15/23 11:55AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Ratskii	
[4/15/23 11:59AM] Player picked up item: Coin, id: 995, amount: 1760198, owner: Ratskii	
[4/15/23 11:59AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ratskii	
[4/15/23 12:05PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Ratskii	
[4/15/23 12:06PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Ratskii	
[4/15/23 12:11PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Ratskii	
[4/15/23 12:17PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Ratskii	
[4/15/23 12:20PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Ratskii	
[4/15/23 12:23PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ratskii	
[4/15/23 12:24PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Ratskii	
[4/15/23 12:25PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Ratskii	
[4/15/23 12:26PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Ratskii	
[4/15/23 12:26PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Ratskii	
[4/15/23 12:27PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ratskii	
[4/15/23 12:27PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ratskii	
[4/15/23 12:28PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ratskii	
[4/15/23 12:29PM] Player picked up item: Coin, id: 995, amount: 1092369, owner: Ratskii	
[4/15/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ratskii	
[4/15/23 12:30PM] Player picked up item: Coin, id: 995, amount: 4074395, owner: Ratskii	
[4/15/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Ratskii	
[4/15/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Ratskii	
[4/15/23 12:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Ratskii	
[4/15/23 12:31PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Ratskii	
[4/15/23 12:31PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Ratskii	
[4/15/23 12:33PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Ratskii	
[4/15/23 12:35PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Ratskii	
[4/15/23 12:35PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Ratskii	
[4/15/23 12:38PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Ratskii	
[4/15/23 12:38PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Ratskii	
[4/15/23 12:38PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ratskii	
[4/15/23 12:42PM] Player picked up item: Revenant Body, id: 18001, amount: 1, owner: Ratskii	
[4/15/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Ratskii	
[4/15/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Ratskii	
[4/15/23 12:56PM] Player picked up item: Nightmare body, id: 23029, amount: 1, owner: Ratskii	
[4/15/23 12:59PM] Player picked up item: Coin, id: 995, amount: 2164118, owner: Ratskii	
[4/15/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Ratskii	
[4/15/23 01:01PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Ratskii	
[4/15/23 01:02PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Ratskii	
[4/15/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Ratskii	
