[4/16/23 01:31AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Topistico	
[4/16/23 01:31AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Topistico	
[4/16/23 01:33AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Topistico	
[4/16/23 01:33AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Topistico	
[4/16/23 01:34AM] Player picked up item: Coin, id: 995, amount: 600, owner: Topistico	
[4/16/23 01:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Topistico	
[4/16/23 01:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Topistico	
[4/16/23 01:35AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Topistico	
[4/16/23 01:35AM] Player picked up item: Coin, id: 995, amount: 600, owner: Topistico	
[4/16/23 01:35AM] Player picked up item: Coin, id: 995, amount: 600, owner: Topistico	
[4/16/23 01:35AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Topistico	
[4/16/23 01:36AM] Player picked up item: Coin, id: 995, amount: 600, owner: Topistico	
[4/16/23 01:36AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Topistico	
[4/16/23 01:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Topistico	
[4/16/23 01:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Topistico	
[4/16/23 01:55AM] Player picked up item: Coin, id: 995, amount: 1415651, owner: Topistico	
[4/16/23 02:11AM] Player picked up item: Coin, id: 995, amount: 900, owner: Topistico	
[4/16/23 02:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Topistico	
[4/16/23 02:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Topistico	
[4/16/23 02:26AM] Player picked up item: Coin, id: 995, amount: 2857822, owner: Topistico	
[4/16/23 02:26AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Topistico	
[4/16/23 02:27AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Topistico	
[4/16/23 02:27AM] Player picked up item: $10 Bond, id: 23057, amount: 1, owner: Topistico	
[4/16/23 02:27AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Topistico	
[4/16/23 02:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Topistico	
[4/16/23 10:54AM] Player picked up item: Coin, id: 995, amount: 1785802, owner: Topistico	
[4/16/23 10:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Topistico	
[4/16/23 10:59AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Topistico	
[4/16/23 11:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Topistico	
