[4/20/23 10:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:26PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:26PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:26PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:28PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:28PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Gor3whor3	
[4/20/23 10:28PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:28PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:28PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:29PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:29PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:29PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:29PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:30PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:30PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:30PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:30PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
