[4/19/23 12:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:31PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:35PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:35PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:35PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:36PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:43PM] Player picked up item: Starter Amulet, id: 23089, amount: 1, owner: Shrazdek	
[4/19/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Cheezyps3	
[4/19/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Cheezyps3	
[4/19/23 12:49PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:56PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:56PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:56PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:56PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:57PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:57PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:57PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:58PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:58PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:58PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:02PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Markwhite93	
[4/19/23 01:03PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:03PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:03PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:03PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:05PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:06PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:06PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:06PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:06PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
