[4/22/23 10:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:04PM] Player picked up item: Coin, id: 995, amount: 300, owner: Medusa	
[4/22/23 10:05PM] Player picked up item: Coin, id: 995, amount: 300, owner: Medusa	
[4/22/23 10:05PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:05PM] Player picked up item: Coin, id: 995, amount: 300, owner: Medusa	
[4/22/23 10:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:06PM] Player picked up item: Coin, id: 995, amount: 300, owner: Medusa	
[4/22/23 10:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:06PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Medusa	
[4/22/23 10:07PM] Player picked up item: Coin, id: 995, amount: 300, owner: Medusa	
[4/22/23 10:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:07PM] Player picked up item: Coin, id: 995, amount: 300, owner: Medusa	
[4/22/23 10:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:08PM] Player picked up item: Coin, id: 995, amount: 300, owner: Medusa	
[4/22/23 10:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:09PM] Player picked up item: Coin, id: 995, amount: 600, owner: Medusa	
[4/22/23 10:09PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Medusa	
[4/22/23 10:09PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
